# Sod Problem Data
# Designed for a Shock propagating in the dir1 direction.
# Number of zones in direction of interest=100
# Output Time(s)=2.0000000000e-05
#Position_dir1(m)	 Pressure(Pa)	 MassDensity(kg/m^3)	 Temperature(K)	 Veclocity_dir1(m/s)
5.0000000000e-03	9.9999958944e+10	9.9999970670e+02	9.2676707499e+04	1.9723284941e-03
1.5000000000e-02	9.9999935347e+10	9.9999953815e+02	9.2676701250e+04	4.8314454180e-03
2.5000000000e-02	9.9999864447e+10	9.9999903172e+02	9.2676682477e+04	1.1194414866e-02
3.5000000000e-02	9.9999711122e+10	9.9999793654e+02	9.2676641878e+04	2.4308469238e-02
4.5000000000e-02	9.9999393751e+10	9.9999566959e+02	9.2676557841e+04	5.1195349990e-02
5.5000000000e-02	9.9998755259e+10	9.9999110890e+02	9.2676388776e+04	1.0518390521e-01
6.5000000000e-02	9.9997503654e+10	9.9998216873e+02	9.2676057367e+04	2.1097546657e-01
7.5000000000e-02	9.9995113048e+10	9.9996509247e+02	9.2675424369e+04	4.1302819743e-01
8.5000000000e-02	9.9990666165e+10	9.9993332734e+02	9.2674246913e+04	7.8888052122e-01
9.5000000000e-02	9.9982615512e+10	9.9987581725e+02	9.2672115271e+04	1.4693561964e+00
1.0500000000e-01	9.9968440161e+10	9.9977454815e+02	9.2668361997e+04	2.6676219214e+00
1.1500000000e-01	9.9944182340e+10	9.9960122989e+02	9.2661939202e+04	4.7184884767e+00
1.2500000000e-01	9.9903867144e+10	9.9931313218e+02	9.2651264762e+04	8.1277995598e+00
1.3500000000e-01	9.9838843136e+10	9.9884833223e+02	9.2634047120e+04	1.3628981201e+01
1.4500000000e-01	9.9737130666e+10	9.9812097366e+02	9.2607110895e+04	2.2239916495e+01
1.5500000000e-01	9.9582920222e+10	9.9701752170e+02	9.2566259375e+04	3.5308971157e+01
1.6500000000e-01	9.9356406865e+10	9.9539530472e+02	9.2506220325e+04	5.4535679461e+01
1.7500000000e-01	9.9034153464e+10	9.9308468234e+02	9.2420722144e+04	8.1951260955e+01
1.8500000000e-01	9.8590120986e+10	9.8989581531e+02	9.2302732620e+04	1.1984845955e+02
1.9500000000e-01	9.7997381078e+10	9.8563018222e+02	9.2144861741e+04	1.7065949146e+02
2.0500000000e-01	9.7230356026e+10	9.8009583951e+02	9.1939889537e+04	2.3679327651e+02
2.1500000000e-01	9.6267265576e+10	9.7312429898e+02	9.1681342959e+04	3.2045473314e+02
2.2500000000e-01	9.5092362888e+10	9.6458622438e+02	9.1364026474e+04	4.2347536237e+02
2.3500000000e-01	9.3697558383e+10	9.5440322839e+02	9.0984418027e+04	5.4718288253e+02
2.4500000000e-01	9.2083161843e+10	9.4255389415e+02	9.0540873147e+04	6.9232866847e+02
2.5500000000e-01	9.0257673798e+10	9.2907345700e+02	9.0033623842e+04	8.5907851108e+02
2.6500000000e-01	8.8236756443e+10	9.1404790273e+02	8.9464600291e+04	1.0470593159e+03
2.7500000000e-01	8.6041650961e+10	8.9760416603e+02	8.8837130615e+04	1.2554455175e+03
2.8500000000e-01	8.3697354631e+10	8.7989846128e+02	8.8155582769e+04	1.4830657351e+03
2.9500000000e-01	8.1230837205e+10	8.6110459724e+02	8.7425005584e+04	1.7285118732e+03
3.0500000000e-01	7.8669493935e+10	8.4140362216e+02	8.6650809925e+04	1.9902375326e+03
3.1500000000e-01	7.6039938561e+10	8.2097554516e+02	8.5838512635e+04	2.2666381175e+03
3.2500000000e-01	7.3367159358e+10	7.9999335679e+02	8.4993550352e+04	2.5561098619e+03
3.3500000000e-01	7.0674007087e+10	7.7861920667e+02	8.4121159541e+04	2.8570884104e+03
3.4500000000e-01	6.7980955613e+10	7.5700239838e+02	8.3226313299e+04	3.1680694905e+03
3.5500000000e-01	6.5306068196e+10	7.3527879614e+02	8.2313703612e+04	3.4876149021e+03
3.6500000000e-01	6.2665107411e+10	7.1357125762e+02	8.1387758390e+04	3.8143469251e+03
3.7500000000e-01	6.0071737755e+10	6.9199077093e+02	8.0452684566e+04	4.1469336827e+03
3.8500000000e-01	5.7537782688e+10	6.7063805096e+02	7.9512530999e+04	4.4840672716e+03
3.9500000000e-01	5.5073509542e+10	6.4960542363e+02	7.8571267227e+04	4.8244357433e+03
4.0500000000e-01	5.2687925118e+10	6.2897888589e+02	7.7632876189e+04	5.1666894207e+03
4.1500000000e-01	5.0389071562e+10	6.0884027097e+02	7.6701460408e+04	5.5094016185e+03
4.2500000000e-01	4.8184316049e+10	5.8926946890e+02	7.5781361904e+04	5.8510237249e+03
4.3500000000e-01	4.6080628910e+10	5.7034664867e+02	7.4877295722e+04	6.1898349315e+03
4.4500000000e-01	4.4084842702e+10	5.5215439314e+02	7.3994495056e+04	6.5238879229e+03
4.5500000000e-01	4.2203878815e+10	5.3477958286e+02	7.3138861622e+04	6.8509539276e+03
4.6500000000e-01	4.0444917655e+10	5.1831473781e+02	7.2317107143e+04	7.1684741381e+03
4.7500000000e-01	3.8815473019e+10	5.0285834202e+02	7.1536859601e+04	7.4735300255e+03
4.8500000000e-01	3.7323312277e+10	4.8851344808e+02	7.0806691484e+04	7.7628523776e+03
4.9500000000e-01	3.5976146878e+10	4.7538364825e+02	7.0136010029e+04	8.0328965093e+03
5.0500000000e-01	3.4781014978e+10	4.6356544394e+02	6.9534741463e+04	8.2800150120e+03
5.1500000000e-01	3.3743310134e+10	4.5313637129e+02	6.9012761900e+04	8.5007523230e+03
5.2500000000e-01	3.2865500228e+10	4.4413918200e+02	6.8579103849e+04	8.6922584180e+03
5.3500000000e-01	3.2145735034e+10	4.3656395119e+02	6.8241118495e+04	8.8527682376e+03
5.4500000000e-01	3.1576718107e+10	4.3033166274e+02	6.8003980751e+04	8.9820315696e+03
5.5500000000e-01	3.1145311246e+10	4.2528343213e+02	6.7871095385e+04	9.0815407372e+03
5.6500000000e-01	3.0833218273e+10	4.2117815950e+02	6.7845908477e+04	9.1544350087e+03
5.7500000000e-01	3.0618896886e+10	4.1770232209e+02	6.7934955907e+04	9.2050319185e+03
5.8500000000e-01	3.0479694725e+10	4.1447975502e+02	6.8151895230e+04	9.2382409663e+03
5.9500000000e-01	3.0394625952e+10	4.1109430714e+02	6.8521362137e+04	9.2588023139e+03
6.0500000000e-01	3.0346114215e+10	4.0711599087e+02	6.9080516208e+04	9.2707793774e+03
6.1500000000e-01	3.0320725311e+10	4.0213810209e+02	6.9877121955e+04	9.2773196650e+03
6.2500000000e-01	3.0309032941e+10	3.9582770522e+02	7.0963746923e+04	9.2806491673e+03
6.3500000000e-01	3.0304934039e+10	3.8798272589e+02	7.2388837174e+04	9.2822164589e+03
6.4500000000e-01	3.0304767443e+10	3.7857986809e+02	7.4186364204e+04	9.2828941443e+03
6.5500000000e-01	3.0306493913e+10	3.6779506446e+02	7.6366071011e+04	9.2831713002e+03
6.6500000000e-01	3.0309061956e+10	3.5598545630e+02	7.8906156111e+04	9.2833046613e+03
6.7500000000e-01	3.0311977755e+10	3.4363547389e+02	8.1749843629e+04	9.2834221667e+03
6.8500000000e-01	3.0315040756e+10	3.3128185740e+02	8.4806892732e+04	9.2835860258e+03
6.9500000000e-01	3.0318191043e+10	3.1943741743e+02	8.7960592571e+04	9.2838265311e+03
7.0500000000e-01	3.0321421113e+10	3.0853011465e+02	9.1079919640e+04	9.2841565921e+03
7.1500000000e-01	3.0324713903e+10	2.9886611011e+02	9.4035251064e+04	9.2845727381e+03
